sequence,survived,category
Entree -> Amulette_Protection -> Couloir -> Zombie -> Coffre -> Or -> Inscription -> Inscription -> Salle_Vide -> Liche -> Couloir -> Gemmes -> Couloir -> Couloir -> Inscription -> Coffre -> Orc -> Or -> Coffre -> Dragon -> Salle_Vide -> Gaz_Toxique -> Or -> Hydre -> Couloir -> Gobelin -> Rat -> Orc -> Demon -> Repas -> Escalier -> Gemmes -> Inscription -> Zombie -> Fontaine_Sacree -> Dragon -> Sortie,0,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Amulette_Protection -> Zombie -> Gemmes -> Escalier -> Fosse -> Troll -> Zombie -> Troll -> Fosse -> Coffre -> Couloir -> Couloir -> Escalier -> Or -> Orc -> Gaz_Toxique -> Dragon -> Escalier -> Gobelin -> Piege_a_Pics -> Dragon -> Zombie -> Inscription -> Gemmes -> Fontaine_Sacree -> Couloir -> Gemmes -> Minotaure -> Couloir -> Repas -> Rat -> Rat -> Gobelin -> Grande_Potion -> Dragon -> Coffre -> Orc -> Grande_Potion -> Zombie -> Gobelin -> Fontaine_Sacree -> Escalier -> Gemmes -> Orc -> Inscription -> Salle_Vide -> Potion -> Gaz_Toxique -> Or -> Fosse -> Liche -> Sortie,0,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Orc -> Couloir -> Gobelin -> Demon -> Escalier -> Rat -> Orc -> Gobelin -> Escalier -> Fontaine_Sacree -> Potion -> Piege_a_Pics -> Potion -> Salle_Vide -> Gobelin -> Couloir -> Grande_Potion -> Gemmes -> Or -> Rat -> Liche -> Grande_Potion -> Fosse -> Inscription -> Inscription -> Rat -> Coffre -> Coffre -> Fontaine_Sacree -> Inscription -> Grande_Potion -> Orc -> Repas -> Potion -> Fosse -> Gemmes -> Orc -> Grande_Potion -> Piege_a_Pics -> Gobelin -> Gaz_Toxique -> Liche -> Sortie,0,synthetic
Entree -> Amulette_Protection -> Fontaine_Sacree -> Escalier -> Potion -> Salle_Vide -> Couloir -> Grande_Potion -> Minotaure -> Orc -> Couloir -> Or -> Salle_Vide -> Rat -> Gaz_Toxique -> Inscription -> Sortie,0,synthetic
Entree -> Couloir -> Fontaine_Sacree -> Couloir -> Couloir -> Coffre -> Fosse -> Couloir -> Gobelin -> Fontaine_Sacree -> Repas -> Coffre -> Hydre -> Zombie -> Zombie -> Rat -> Or -> Orc -> Dragon -> Coffre -> Escalier -> Couloir -> Couloir -> Salle_Vide -> Orc -> Grande_Potion -> Salle_Vide -> Potion -> Zombie -> Dragon -> Inscription -> Escalier -> Or -> Rat -> Repas -> Salle_Vide -> Zombie -> Orc -> Salle_Vide -> Coffre -> Hydre -> Dragon -> Sortie,0,synthetic
Entree -> Salle_Vide -> Gemmes -> Couloir -> Potion -> Orc -> Escalier -> Grande_Potion -> Gaz_Toxique -> Gemmes -> Or -> Or -> Or -> Gemmes -> Minotaure -> Escalier -> Gemmes -> Repas -> Demon -> Or -> Repas -> Orc -> Potion -> Liche -> Grande_Potion -> Rat -> Escalier -> Piege_a_Pics -> Coffre -> Repas -> Escalier -> Orc -> Zombie -> Dragon -> Sortie,0,synthetic
Entree -> Salle_Vide -> Escalier -> Potion -> Or -> Gemmes -> Or -> Fosse -> Gemmes -> Inscription -> Or -> Gemmes -> Hydre -> Salle_Vide -> Piege_a_Pics -> Coffre -> Rat -> Or -> Salle_Vide -> Inscription -> Gobelin -> Coffre -> Couloir -> Escalier -> Fosse -> Fosse -> Liche -> Sortie,0,synthetic
Entree -> Amulette_Protection -> Salle_Vide -> Fosse -> Minotaure -> Repas -> Rat -> Dragon -> Rat -> Grande_Potion -> Troll -> Coffre -> Or -> Piege_a_Pics -> Inscription -> Gaz_Toxique -> Salle_Vide -> Or -> Fontaine_Sacree -> Gobelin -> Potion -> Salle_Vide -> Zombie -> Escalier -> Gemmes -> Escalier -> Orc -> Salle_Vide -> Grande_Potion -> Liche -> Salle_Vide -> Potion -> Inscription -> Or -> Rat -> Gobelin -> Gemmes -> Orc -> Inscription -> Escalier -> Gemmes -> Coffre -> Gemmes -> Escalier -> Couloir -> Grande_Potion -> Liche -> Sortie,0,synthetic
Entree -> Fosse -> Inscription -> Orc -> Escalier -> Fosse -> Grande_Potion -> Escalier -> Minotaure -> Rat -> Coffre -> Couloir -> Escalier -> Troll -> Gaz_Toxique -> Escalier -> Liche -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Rat -> Couloir -> Gaz_Toxique -> Salle_Vide -> Gobelin -> Salle_Vide -> Gemmes -> Minotaure -> Demon -> Inscription -> Salle_Vide -> Potion -> Fontaine_Sacree -> Gobelin -> Repas -> Gemmes -> Repas -> Couloir -> Zombie -> Escalier -> Potion -> Or -> Salle_Vide -> Potion -> Gemmes -> Demon -> Repas -> Coffre -> Salle_Vide -> Zombie -> Couloir -> Inscription -> Potion -> Gobelin -> Salle_Vide -> Zombie -> Zombie -> Repas -> Or -> Hydre -> Fontaine_Sacree -> Inscription -> Couloir -> Grande_Potion -> Piege_a_Pics -> Couloir -> Escalier -> Gemmes -> Grande_Potion -> Or -> Liche -> Sortie,0,synthetic
Entree -> Epee_Legendaire -> Coffre -> Repas -> Salle_Vide -> Demon -> Coffre -> Orc -> Gemmes -> Minotaure -> Gobelin -> Piege_a_Pics -> Escalier -> Gemmes -> Rat -> Escalier -> Repas -> Escalier -> Or -> Fosse -> Coffre -> Rat -> Demon -> Piege_a_Pics -> Salle_Vide -> Coffre -> Inscription -> Piege_a_Pics -> Or -> Fosse -> Rat -> Piege_a_Pics -> Piege_a_Pics -> Gobelin -> Zombie -> Or -> Gemmes -> Couloir -> Gobelin -> Inscription -> Couloir -> Inscription -> Escalier -> Minotaure -> Or -> Rat -> Or -> Dragon -> Hydre -> Coffre -> Gemmes -> Or -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Or -> Potion -> Minotaure -> Gobelin -> Gaz_Toxique -> Or -> Inscription -> Potion -> Gaz_Toxique -> Couloir -> Salle_Vide -> Salle_Vide -> Zombie -> Orc -> Minotaure -> Inscription -> Fosse -> Couloir -> Fontaine_Sacree -> Piege_a_Pics -> Couloir -> Piege_a_Pics -> Gobelin -> Fontaine_Sacree -> Salle_Vide -> Salle_Vide -> Repas -> Potion -> Salle_Vide -> Inscription -> Orc -> Fontaine_Sacree -> Coffre -> Couloir -> Zombie -> Salle_Vide -> Potion -> Salle_Vide -> Repas -> Gobelin -> Salle_Vide -> Sortie,0,synthetic
Entree -> Epee_Legendaire -> Hydre -> Gemmes -> Gobelin -> Zombie -> Fosse -> Or -> Rat -> Escalier -> Escalier -> Orc -> Escalier -> Coffre -> Troll -> Hydre -> Gemmes -> Gemmes -> Gobelin -> Inscription -> Gemmes -> Salle_Vide -> Piege_a_Pics -> Or -> Couloir -> Potion -> Gemmes -> Fosse -> Grande_Potion -> Rat -> Fontaine_Sacree -> Piege_a_Pics -> Rat -> Fosse -> Potion -> Inscription -> Gobelin -> Piege_a_Pics -> Orc -> Gemmes -> Fontaine_Sacree -> Gemmes -> Orc -> Piege_a_Pics -> Orc -> Gemmes -> Rat -> Piege_a_Pics -> Coffre -> Liche -> Sortie,0,synthetic
Entree -> Zombie -> Rat -> Inscription -> Fosse -> Inscription -> Zombie -> Gemmes -> Escalier -> Gemmes -> Dragon -> Troll -> Gobelin -> Gaz_Toxique -> Dragon -> Escalier -> Salle_Vide -> Salle_Vide -> Couloir -> Escalier -> Couloir -> Orc -> Escalier -> Repas -> Repas -> Salle_Vide -> Gobelin -> Gemmes -> Rat -> Potion -> Orc -> Potion -> Rat -> Fosse -> Zombie -> Rat -> Gemmes -> Zombie -> Or -> Couloir -> Salle_Vide -> Potion -> Salle_Vide -> Rat -> Grande_Potion -> Piege_a_Pics -> Gemmes -> Orc -> Rat -> Fontaine_Sacree -> Sortie,0,synthetic
Entree -> Amulette_Protection -> Orc -> Rat -> Couloir -> Rat -> Demon -> Escalier -> Orc -> Gobelin -> Repas -> Potion -> Couloir -> Liche -> Coffre -> Grande_Potion -> Escalier -> Repas -> Or -> Gaz_Toxique -> Couloir -> Couloir -> Repas -> Gobelin -> Grande_Potion -> Orc -> Rat -> Gemmes -> Liche -> Gobelin -> Fosse -> Piege_a_Pics -> Couloir -> Gemmes -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Rat -> Gobelin -> Escalier -> Inscription -> Escalier -> Couloir -> Minotaure -> Rat -> Gemmes -> Rat -> Coffre -> Couloir -> Troll -> Salle_Vide -> Gaz_Toxique -> Salle_Vide -> Orc -> Gobelin -> Or -> Fosse -> Inscription -> Salle_Vide -> Gemmes -> Hydre -> Coffre -> Gaz_Toxique -> Gobelin -> Piege_a_Pics -> Salle_Vide -> Gobelin -> Coffre -> Gemmes -> Orc -> Inscription -> Piege_a_Pics -> Minotaure -> Escalier -> Fosse -> Salle_Vide -> Zombie -> Coffre -> Gobelin -> Coffre -> Zombie -> Demon -> Sortie,0,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Amulette_Protection -> Epee_Legendaire -> Rat -> Coffre -> Gaz_Toxique -> Liche -> Couloir -> Coffre -> Fosse -> Gaz_Toxique -> Escalier -> Coffre -> Fontaine_Sacree -> Dragon -> Hydre -> Fontaine_Sacree -> Rat -> Gaz_Toxique -> Fosse -> Troll -> Couloir -> Gemmes -> Salle_Vide -> Zombie -> Fosse -> Gobelin -> Gobelin -> Or -> Couloir -> Zombie -> Zombie -> Gobelin -> Gemmes -> Potion -> Grande_Potion -> Gemmes -> Rat -> Escalier -> Orc -> Fosse -> Minotaure -> Zombie -> Gemmes -> Minotaure -> Orc -> Repas -> Gobelin -> Piege_a_Pics -> Escalier -> Gaz_Toxique -> Couloir -> Liche -> Sortie,0,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Amulette_Protection -> Repas -> Couloir -> Couloir -> Gobelin -> Couloir -> Rat -> Inscription -> Or -> Inscription -> Inscription -> Inscription -> Inscription -> Salle_Vide -> Inscription -> Escalier -> Orc -> Liche -> Inscription -> Salle_Vide -> Escalier -> Potion -> Fosse -> Gobelin -> Piege_a_Pics -> Inscription -> Orc -> Zombie -> Gemmes -> Escalier -> Gemmes -> Fontaine_Sacree -> Zombie -> Salle_Vide -> Fosse -> Sortie,0,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Amulette_Protection -> Gemmes -> Escalier -> Escalier -> Coffre -> Fontaine_Sacree -> Couloir -> Inscription -> Repas -> Inscription -> Orc -> Escalier -> Rat -> Orc -> Coffre -> Repas -> Escalier -> Demon -> Inscription -> Couloir -> Minotaure -> Gobelin -> Rat -> Coffre -> Gaz_Toxique -> Repas -> Couloir -> Liche -> Sortie,0,synthetic
Entree -> Coffre -> Or -> Potion -> Potion -> Escalier -> Salle_Vide -> Escalier -> Couloir -> Orc -> Couloir -> Zombie -> Coffre -> Coffre -> Orc -> Inscription -> Gemmes -> Liche -> Or -> Zombie -> Demon -> Sortie,0,synthetic
Entree -> Fosse -> Or -> Salle_Vide -> Or -> Zombie -> Coffre -> Coffre -> Fosse -> Gobelin -> Escalier -> Gemmes -> Salle_Vide -> Coffre -> Rat -> Couloir -> Escalier -> Escalier -> Minotaure -> Couloir -> Gemmes -> Gemmes -> Potion -> Orc -> Potion -> Gemmes -> Grande_Potion -> Fosse -> Couloir -> Coffre -> Couloir -> Inscription -> Repas -> Salle_Vide -> Grande_Potion -> Repas -> Dragon -> Couloir -> Escalier -> Coffre -> Grande_Potion -> Gaz_Toxique -> Gobelin -> Escalier -> Sortie,0,synthetic
Entree -> Inscription -> Couloir -> Salle_Vide -> Zombie -> Gemmes -> Orc -> Couloir -> Piege_a_Pics -> Salle_Vide -> Grande_Potion -> Escalier -> Grande_Potion -> Couloir -> Salle_Vide -> Salle_Vide -> Escalier -> Escalier -> Rat -> Coffre -> Gaz_Toxique -> Repas -> Coffre -> Gobelin -> Inscription -> Orc -> Or -> Orc -> Potion -> Gaz_Toxique -> Gobelin -> Inscription -> Couloir -> Troll -> Troll -> Zombie -> Couloir -> Gemmes -> Gemmes -> Coffre -> Gaz_Toxique -> Couloir -> Couloir -> Inscription -> Coffre -> Salle_Vide -> Or -> Repas -> Liche -> Sortie,0,synthetic
Entree -> Escalier -> Inscription -> Escalier -> Gemmes -> Salle_Vide -> Or -> Salle_Vide -> Zombie -> Orc -> Or -> Rat -> Couloir -> Inscription -> Couloir -> Gobelin -> Gemmes -> Potion -> Escalier -> Escalier -> Escalier -> Gemmes -> Minotaure -> Demon -> Escalier -> Zombie -> Orc -> Piege_a_Pics -> Potion -> Or -> Gobelin -> Dragon -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Epee_Legendaire -> Salle_Vide -> Inscription -> Minotaure -> Hydre -> Fosse -> Liche -> Orc -> Potion -> Gaz_Toxique -> Orc -> Escalier -> Salle_Vide -> Orc -> Piege_a_Pics -> Fosse -> Gobelin -> Fosse -> Fosse -> Orc -> Orc -> Couloir -> Escalier -> Or -> Zombie -> Or -> Gaz_Toxique -> Couloir -> Gemmes -> Grande_Potion -> Demon -> Sortie,0,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Epee_Legendaire -> Fosse -> Rat -> Or -> Escalier -> Escalier -> Orc -> Gemmes -> Gobelin -> Troll -> Piege_a_Pics -> Rat -> Fontaine_Sacree -> Or -> Hydre -> Gobelin -> Demon -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Gobelin -> Hydre -> Orc -> Salle_Vide -> Coffre -> Escalier -> Fosse -> Inscription -> Coffre -> Piege_a_Pics -> Orc -> Zombie -> Troll -> Inscription -> Sortie,0,synthetic
Entree -> Potion -> Zombie -> Coffre -> Fosse -> Rat -> Gemmes -> Escalier -> Rat -> Orc -> Piege_a_Pics -> Coffre -> Dragon -> Salle_Vide -> Coffre -> Gaz_Toxique -> Couloir -> Salle_Vide -> Gaz_Toxique -> Repas -> Gobelin -> Salle_Vide -> Gemmes -> Coffre -> Inscription -> Grande_Potion -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Salle_Vide -> Coffre -> Grande_Potion -> Coffre -> Liche -> Piege_a_Pics -> Gemmes -> Repas -> Salle_Vide -> Inscription -> Zombie -> Couloir -> Couloir -> Fontaine_Sacree -> Orc -> Or -> Escalier -> Rat -> Troll -> Repas -> Repas -> Couloir -> Liche -> Sortie,0,synthetic
Entree -> Amulette_Protection -> Potion -> Couloir -> Gemmes -> Repas -> Coffre -> Escalier -> Inscription -> Coffre -> Or -> Salle_Vide -> Potion -> Or -> Orc -> Inscription -> Gobelin -> Repas -> Inscription -> Inscription -> Inscription -> Orc -> Couloir -> Couloir -> Piege_a_Pics -> Piege_a_Pics -> Or -> Minotaure -> Gobelin -> Piege_a_Pics -> Gemmes -> Troll -> Fosse -> Grande_Potion -> Or -> Rat -> Dragon -> Gobelin -> Gaz_Toxique -> Zombie -> Minotaure -> Zombie -> Escalier -> Sortie,0,synthetic
Entree -> Epee_Legendaire -> Coffre -> Escalier -> Or -> Potion -> Rat -> Gobelin -> Gobelin -> Gobelin -> Orc -> Escalier -> Salle_Vide -> Rat -> Couloir -> Couloir -> Minotaure -> Fosse -> Zombie -> Repas -> Repas -> Or -> Gemmes -> Troll -> Coffre -> Minotaure -> Orc -> Couloir -> Salle_Vide -> Hydre -> Zombie -> Or -> Escalier -> Repas -> Salle_Vide -> Or -> Or -> Escalier -> Inscription -> Rat -> Or -> Grande_Potion -> Coffre -> Salle_Vide -> Gemmes -> Gobelin -> Sortie,0,synthetic
Entree -> Or -> Potion -> Salle_Vide -> Inscription -> Gobelin -> Inscription -> Gobelin -> Coffre -> Coffre -> Demon -> Dragon -> Gemmes -> Salle_Vide -> Gaz_Toxique -> Repas -> Orc -> Coffre -> Escalier -> Escalier -> Gemmes -> Coffre -> Or -> Escalier -> Escalier -> Couloir -> Potion -> Rat -> Repas -> Gobelin -> Gaz_Toxique -> Zombie -> Minotaure -> Coffre -> Grande_Potion -> Inscription -> Escalier -> Coffre -> Orc -> Couloir -> Gemmes -> Repas -> Dragon -> Sortie,0,synthetic
Entree -> Coffre -> Gemmes -> Zombie -> Fontaine_Sacree -> Orc -> Demon -> Repas -> Piege_a_Pics -> Demon -> Piege_a_Pics -> Orc -> Inscription -> Gaz_Toxique -> Inscription -> Fosse -> Inscription -> Orc -> Or -> Escalier -> Troll -> Salle_Vide -> Fontaine_Sacree -> Rat -> Coffre -> Repas -> Salle_Vide -> Fontaine_Sacree -> Or -> Fontaine_Sacree -> Inscription -> Troll -> Repas -> Potion -> Coffre -> Escalier -> Rat -> Zombie -> Gemmes -> Couloir -> Or -> Potion -> Gobelin -> Piege_a_Pics -> Minotaure -> Potion -> Sortie,0,synthetic
Entree -> Orc -> Rat -> Or -> Gobelin -> Gemmes -> Orc -> Gemmes -> Liche -> Minotaure -> Potion -> Orc -> Gobelin -> Demon -> Hydre -> Liche -> Sortie,0,synthetic
Entree -> Gemmes -> Rat -> Fosse -> Gobelin -> Gemmes -> Grande_Potion -> Troll -> Dragon -> Salle_Vide -> Or -> Troll -> Inscription -> Minotaure -> Inscription -> Inscription -> Rat -> Coffre -> Salle_Vide -> Piege_a_Pics -> Coffre -> Repas -> Potion -> Rat -> Or -> Inscription -> Or -> Rat -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Gemmes -> Zombie -> Gaz_Toxique -> Escalier -> Potion -> Or -> Couloir -> Coffre -> Escalier -> Orc -> Troll -> Couloir -> Salle_Vide -> Couloir -> Salle_Vide -> Rat -> Escalier -> Zombie -> Or -> Piege_a_Pics -> Coffre -> Couloir -> Salle_Vide -> Fontaine_Sacree -> Hydre -> Gaz_Toxique -> Demon -> Zombie -> Salle_Vide -> Or -> Repas -> Demon -> Sortie,0,synthetic
Entree -> Zombie -> Gobelin -> Orc -> Inscription -> Couloir -> Escalier -> Gemmes -> Grande_Potion -> Zombie -> Coffre -> Couloir -> Orc -> Or -> Fosse -> Repas -> Hydre -> Couloir -> Or -> Inscription -> Inscription -> Inscription -> Repas -> Dragon -> Zombie -> Gemmes -> Rat -> Or -> Fosse -> Gobelin -> Couloir -> Inscription -> Gobelin -> Grande_Potion -> Gemmes -> Hydre -> Inscription -> Piege_a_Pics -> Couloir -> Piege_a_Pics -> Fosse -> Gemmes -> Inscription -> Salle_Vide -> Coffre -> Orc -> Escalier -> Potion -> Coffre -> Inscription -> Sortie,0,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Minotaure -> Couloir -> Fontaine_Sacree -> Piege_a_Pics -> Couloir -> Or -> Orc -> Inscription -> Gobelin -> Escalier -> Couloir -> Hydre -> Inscription -> Fosse -> Dragon -> Gaz_Toxique -> Coffre -> Rat -> Gemmes -> Zombie -> Dragon -> Or -> Repas -> Orc -> Gemmes -> Potion -> Orc -> Or -> Fontaine_Sacree -> Rat -> Gemmes -> Or -> Piege_a_Pics -> Or -> Minotaure -> Or -> Liche -> Dragon -> Potion -> Coffre -> Or -> Fosse -> Inscription -> Inscription -> Orc -> Zombie -> Escalier -> Sortie,0,synthetic
Entree -> Epee_Legendaire -> Fontaine_Sacree -> Fosse -> Salle_Vide -> Gobelin -> Zombie -> Gemmes -> Repas -> Coffre -> Hydre -> Gemmes -> Gaz_Toxique -> Fosse -> Gaz_Toxique -> Escalier -> Coffre -> Or -> Dragon -> Repas -> Rat -> Salle_Vide -> Orc -> Orc -> Gemmes -> Orc -> Inscription -> Salle_Vide -> Escalier -> Salle_Vide -> Or -> Piege_a_Pics -> Gaz_Toxique -> Gobelin -> Inscription -> Rat -> Coffre -> Inscription -> Salle_Vide -> Or -> Dragon -> Gaz_Toxique -> Zombie -> Or -> Sortie,0,synthetic
Entree -> Epee_Legendaire -> Troll -> Fontaine_Sacree -> Coffre -> Gemmes -> Zombie -> Coffre -> Salle_Vide -> Gobelin -> Coffre -> Gemmes -> Dragon -> Hydre -> Grande_Potion -> Hydre -> Escalier -> Fontaine_Sacree -> Minotaure -> Fosse -> Coffre -> Liche -> Salle_Vide -> Troll -> Rat -> Inscription -> Grande_Potion -> Liche -> Sortie,0,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Dragon -> Potion -> Sortie,0,synthetic
Entree -> Potion -> Dragon -> Sortie,1,synthetic
Entree -> Epee_Legendaire -> Inscription -> Inscription -> Hydre -> Gobelin -> Coffre -> Gobelin -> Zombie -> Coffre -> Liche -> Repas -> Rat -> Escalier -> Minotaure -> Fosse -> Couloir -> Dragon -> Couloir -> Zombie -> Inscription -> Or -> Demon -> Salle_Vide -> Rat -> Or -> Rat -> Fontaine_Sacree -> Hydre -> Or -> Gaz_Toxique -> Dragon -> Repas -> Couloir -> Repas -> Inscription -> Escalier -> Couloir -> Grande_Potion -> Gobelin -> Coffre -> Rat -> Zombie -> Couloir -> Zombie -> Couloir -> Rat -> Potion -> Sortie,0,synthetic
Entree -> Coffre -> Orc -> Or -> Coffre -> Inscription -> Inscription -> Inscription -> Escalier -> Zombie -> Minotaure -> Fontaine_Sacree -> Gemmes -> Salle_Vide -> Fontaine_Sacree -> Minotaure -> Grande_Potion -> Piege_a_Pics -> Rat -> Or -> Salle_Vide -> Couloir -> Inscription -> Or -> Orc -> Escalier -> Escalier -> Troll -> Coffre -> Escalier -> Demon -> Zombie -> Gobelin -> Zombie -> Hydre -> Rat -> Coffre -> Liche -> Fontaine_Sacree -> Inscription -> Or -> Zombie -> Or -> Repas -> Gemmes -> Liche -> Zombie -> Gemmes -> Sortie,0,synthetic
Entree -> Inscription -> Inscription -> Or -> Or -> Gemmes -> Salle_Vide -> Inscription -> Inscription -> Couloir -> Rat -> Or -> Fontaine_Sacree -> Inscription -> Salle_Vide -> Escalier -> Orc -> Couloir -> Or -> Hydre -> Gemmes -> Orc -> Salle_Vide -> Salle_Vide -> Or -> Sortie,0,synthetic
